date,industry_b_usage
2020/1/1,20.170575515
2020/1/2,20.220565515
2020/1/3,19.488946705
2020/1/4,19.368611283
2020/1/5,19.108233044
2020/1/6,19.417935416
2020/1/7,19.664551939
2020/1/8,18.656304588
2020/1/9,17.952161335
2020/1/10,17.771156092
2020/1/11,18.135669767
2020/1/12,17.874840717
2020/1/13,17.809097954
2020/1/14,17.580270888
2020/1/15,16.996382286
2020/1/16,17.217750002
2020/1/17,17.301407724
2020/1/18,17.620543259999998
2020/1/19,17.663993203
2020/1/20,17.548642553
2020/1/21,17.560387261
2020/1/22,16.759188321
2020/1/23,16.271625076
2020/1/24,14.974480245
2020/1/25,15.038307934
2020/1/26,15.392632028
2020/1/27,14.820618663
2020/1/28,14.916104636
2020/1/29,15.173933075
2020/1/30,15.53031586
2020/1/31,15.730388577
2020/2/1,15.989585288
2020/2/2,16.505576345
2020/2/3,16.873643513
2020/2/4,17.830549609000002
2020/2/5,18.314199557
2020/2/6,17.207461117
2020/2/7,16.406282704
2020/2/8,16.839085396999998
2020/2/9,17.004666828
2020/2/10,17.643535228
2020/2/11,17.94921857
2020/2/12,18.103187114
2020/2/13,17.368264909
2020/2/14,18.321733219
2020/2/15,18.502820801
2020/2/16,17.836721352
2020/2/17,17.917195558
2020/2/18,18.377897369
2020/2/19,18.414239944
2020/2/20,18.41431479
2020/2/21,18.525981499
2020/2/22,18.067650463
2020/2/23,18.280690804
2020/2/24,17.993575721
2020/2/25,18.218955266
2020/2/26,18.03982025
2020/2/27,17.997833474
2020/2/28,18.389935716
2020/2/29,18.218096306
2020/3/1,19.139669752
2020/3/2,19.03134098
2020/3/3,20.072663858
2020/3/4,20.227460492
2020/3/5,20.787953361
2020/3/6,20.8763112
2020/3/7,20.578107732
2020/3/8,21.649523077
2020/3/9,21.744264625
2020/3/10,22.090916886
2020/3/11,20.69056822
2020/3/12,20.643235375
2020/3/13,20.681155062
2020/3/14,20.71715879
2020/3/15,20.21951808
2020/3/16,21.62911251
2020/3/17,21.943529276
2020/3/18,21.396607998
2020/3/19,21.252799235
2020/3/20,21.605746765
2020/3/21,20.96513528
2020/3/22,20.975977401
2020/3/23,20.053615408
2020/3/24,19.832742383
2020/3/25,19.897126126
2020/3/26,19.853091385
2020/3/27,21.081921727
2020/3/28,21.509333729
2020/3/29,21.48667542
2020/3/30,22.440608683
2020/3/31,22.182498552
2020/4/1,21.992561122
2020/4/2,22.851281964
2020/4/3,23.422299902
2020/4/4,22.898514062
2020/4/5,23.095280684
2020/4/6,22.940032955
2020/4/7,21.980789332
2020/4/8,21.527294879
2020/4/9,21.466493898
2020/4/10,21.682822606
2020/4/11,21.582348773
2020/4/12,21.045582289
2020/4/13,21.240243592
2020/4/14,21.323828914
2020/4/15,21.563384426
2020/4/16,21.166617569
2020/4/17,19.97976672
