date,industry_a_usage
2020/1/1,17.0
2020/1/2,17.105332388
2020/1/3,16.054909717
2020/1/4,16.62870432
2020/1/5,16.260018862
2020/1/6,16.313161603
2020/1/7,16.607076809
2020/1/8,15.649355584
2020/1/9,15.196313063
2020/1/10,14.631018512
2020/1/11,15.152019484
2020/1/12,14.971324963
2020/1/13,14.946172609000001
2020/1/14,14.283715894
2020/1/15,14.106946312
2020/1/16,14.493493876999999
2020/1/17,14.626335860000001
2020/1/18,14.872371063
2020/1/19,14.43029011
2020/1/20,14.376992207
2020/1/21,14.852284925
2020/1/22,13.564263138000001
2020/1/23,13.464498545
2020/1/24,12.339645982
2020/1/25,12.280747802
2020/1/26,12.487086729
2020/1/27,11.821535972
2020/1/28,11.726910888
2020/1/29,12.253016217999999
2020/1/30,12.414087657
2020/1/31,12.886074644
2020/2/1,13.329973095
2020/2/2,13.711843634000001
2020/2/3,13.934533336000001
2020/2/4,14.365168149999999
2020/2/5,14.902856713
2020/2/6,14.239926831
2020/2/7,13.274548819
2020/2/8,13.815501232999999
2020/2/9,14.239736772
2020/2/10,14.621763954999999
2020/2/11,14.748159249
2020/2/12,15.15454558
2020/2/13,14.620484997
2020/2/14,15.167355231
2020/2/15,15.40024393
2020/2/16,14.567714304999999
2020/2/17,14.827558061000001
2020/2/18,15.230170974
2020/2/19,15.328629131
2020/2/20,15.494046149999999
2020/2/21,15.857521055
2020/2/22,14.821750817
2020/2/23,15.409038461
2020/2/24,15.319904371
2020/2/25,15.402920837
2020/2/26,14.811754889
2020/2/27,14.697109121
2020/2/28,15.024468685999999
2020/2/29,15.27849303
2020/3/1,16.133003993
2020/3/2,16.05919306
2020/3/3,17.279900304999998
2020/3/4,16.905220045
2020/3/5,17.901556544
2020/3/6,17.933189415
2020/3/7,17.669521058
2020/3/8,18.5890687
2020/3/9,19.124854694
2020/3/10,19.078430017
2020/3/11,17.670883394
2020/3/12,17.727027475
2020/3/13,17.482728794
2020/3/14,17.638502243
2020/3/15,16.996473471
2020/3/16,18.391920634999998
2020/3/17,18.804585489
2020/3/18,18.405222297
2020/3/19,18.28348696
2020/3/20,18.257535366
2020/3/21,18.038607416
2020/3/22,17.712393173
2020/3/23,16.755584472
2020/3/24,17.214525689
2020/3/25,16.490513943
2020/3/26,16.915059245000002
2020/3/27,17.9896823
2020/3/28,18.46478236
2020/3/29,18.273521609
2020/3/30,19.572706483
2020/3/31,19.070741458
2020/4/1,18.805909451
2020/4/2,19.667291848
2020/4/3,20.004352737
2020/4/4,19.617731189
2020/4/5,20.254265006
2020/4/6,19.675243001
2020/4/7,19.04234028
2020/4/8,18.334557878
2020/4/9,18.560695276
2020/4/10,19.085893353
2020/4/11,18.715816736
2020/4/12,18.013243815
2020/4/13,18.14985252
2020/4/14,18.749101166
2020/4/15,18.104752302
2020/4/16,17.937697925000002
2020/4/17,17.153144197
2020/4/18,17.542154689
2020/4/19,17.165554988
2020/4/20,16.616781028
2020/4/21,16.378066918000002
2020/4/22,16.424792277
2020/4/23,15.789107584
2020/4/24,15.251825672999999
2020/4/25,14.718709903
2020/4/26,15.012520023
2020/4/27,15.156585716
2020/4/28,15.212981204
2020/4/29,15.923660523999999
2020/4/30,15.802940721999999
2020/5/1,15.925202856
2020/5/2,16.305580709
2020/5/3,16.157351708
2020/5/4,16.856781390000002
